               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.030998,            0.011497,            0.015506,             0.90348,             0.98241,               0.995,             0.68749,            0.023909,           0.0068997,            0.008518,            0.005248,            0.005248,            0.005248
                 146,            0.030894,            0.011708,            0.015573,             0.87417,             0.99624,               0.995,             0.67304,            0.026257,           0.0069408,           0.0070102,            0.005215,            0.005215,            0.005215
                 147,            0.031247,            0.011122,            0.015122,             0.90209,             0.96812,               0.995,             0.71296,             0.02587,            0.007405,           0.0073922,            0.005182,            0.005182,            0.005182
                 148,            0.030218,            0.010953,            0.014849,             0.72791,              0.8744,             0.94722,             0.56776,             0.03253,           0.0087524,            0.012597,            0.005149,            0.005149,            0.005149
                 149,            0.033034,            0.010772,            0.016371,             0.85695,             0.98586,               0.995,              0.6917,            0.027452,           0.0079038,            0.008503,            0.005116,            0.005116,            0.005116
                 150,            0.030299,            0.011662,            0.014031,             0.90603,             0.98987,               0.995,             0.75085,            0.024727,           0.0069328,           0.0062406,            0.005083,            0.005083,            0.005083
                 151,            0.030456,            0.011878,            0.012752,             0.90879,             0.97725,               0.995,             0.71148,            0.024828,            0.006774,           0.0063329,             0.00505,             0.00505,             0.00505
                 152,            0.030774,             0.01038,            0.012071,             0.91358,             0.98222,               0.995,             0.70464,            0.024664,           0.0067418,           0.0062699,            0.005017,            0.005017,            0.005017
                 153,            0.030862,             0.01158,            0.014775,             0.89883,             0.99209,               0.995,             0.68746,            0.024979,           0.0067232,           0.0066469,            0.004984,            0.004984,            0.004984
                 154,            0.031455,            0.010704,            0.013337,             0.91826,                   1,               0.995,             0.70033,            0.023371,           0.0066942,           0.0060353,            0.004951,            0.004951,            0.004951
                 155,            0.029201,            0.011032,            0.013352,             0.83177,             0.98171,               0.995,             0.70698,             0.02649,           0.0072616,            0.009171,            0.004918,            0.004918,            0.004918
                 156,            0.032195,            0.011527,             0.01523,              0.8902,             0.98507,               0.995,             0.64779,            0.026052,           0.0067547,           0.0058537,            0.004885,            0.004885,            0.004885
                 157,            0.029927,            0.010713,            0.014029,             0.94295,             0.99123,               0.995,             0.65708,            0.025576,           0.0071294,           0.0056999,            0.004852,            0.004852,            0.004852
                 158,            0.028864,            0.011587,            0.012081,             0.74096,             0.73778,             0.85559,             0.40612,            0.043816,             0.01355,            0.017289,            0.004819,            0.004819,            0.004819
                 159,            0.031232,            0.011338,            0.014068,             0.94776,                   1,               0.995,             0.66681,             0.02467,           0.0065935,           0.0055919,            0.004786,            0.004786,            0.004786
                 160,            0.031442,             0.01047,            0.015171,             0.94959,                   1,               0.995,             0.65147,            0.027521,           0.0068377,           0.0052478,            0.004753,            0.004753,            0.004753
                 161,            0.031995,            0.011534,             0.01428,             0.91405,             0.97025,             0.97289,             0.62386,            0.027093,           0.0070472,           0.0090008,             0.00472,             0.00472,             0.00472
                 162,            0.029546,            0.010553,            0.013454,             0.93139,             0.92608,               0.995,             0.66616,            0.028547,           0.0068884,           0.0081196,            0.004687,            0.004687,            0.004687
                 163,             0.02978,             0.01167,            0.012035,             0.92321,                   1,               0.995,             0.69442,            0.025419,           0.0068756,           0.0061655,            0.004654,            0.004654,            0.004654
